#{"t_start": 1764446486.2430456, "env_id": "dm_control/cartpole-swingup-v0"}
r,l,t
19.913946,1000,7.456745
6.078679,1000,15.318957
16.71071,1000,23.86997
20.489102,1000,32.30924
13.245969,1000,40.345745
41.910229,1000,48.227342
107.287543,1000,56.769475
49.162325,1000,65.424334
55.733983,1000,73.522339
190.592671,1000,81.65846
168.082865,1000,89.664979
152.268544,1000,97.761179
235.976903,1000,106.443802
144.218876,1000,114.472289
214.273426,1000,122.646369
284.448269,1000,131.105725
228.088486,1000,139.439884
275.037661,1000,147.045283
300.986652,1000,155.470014
333.741705,1000,163.55788
378.687066,1000,171.688764
330.53695,1000,180.158555
304.563395,1000,188.897125
374.832689,1000,198.479095
478.607272,1000,207.886552
396.398037,1000,217.282454
444.064075,1000,226.999028
471.617618,1000,236.993973
491.632897,1000,246.345876
497.748899,1000,255.414735
483.412575,1000,264.418555
418.570817,1000,273.836036
425.386031,1000,283.18194
513.293698,1000,291.441877
505.671775,1000,300.853122
486.451643,1000,310.064706
501.189748,1000,319.869056
477.642803,1000,329.600724
524.970269,1000,339.073529
529.009746,1000,348.067447
596.394716,1000,357.282453
570.105384,1000,367.087414
580.325573,1000,376.650102
563.642526,1000,385.678389
621.41318,1000,394.746964
606.929884,1000,403.711232
640.741237,1000,412.992454
645.758618,1000,422.234264
643.233795,1000,431.101055
648.434332,1000,440.446599
682.450371,1000,449.33563
660.277776,1000,457.957746
697.173031,1000,466.670187
666.460772,1000,475.893744
660.981802,1000,484.43954
651.043056,1000,493.82139
662.92036,1000,502.224879
725.026967,1000,511.172446
694.671113,1000,520.506364
683.724056,1000,529.820572
693.778756,1000,539.610218
689.009308,1000,548.60412
677.567539,1000,558.03393
699.6226,1000,567.460529
668.125791,1000,577.682052
714.261359,1000,587.388903
745.891773,1000,596.054851
763.256423,1000,605.893907
756.29881,1000,614.995551
786.151804,1000,623.891255
771.789947,1000,633.117645
764.73928,1000,642.322416
802.710111,1000,651.94793
801.495299,1000,660.876705
790.210586,1000,669.809062
779.649763,1000,679.071547
798.698584,1000,688.27673
783.27398,1000,697.613019
770.41006,1000,706.416723
789.043321,1000,715.372847
802.075413,1000,724.913326
779.976744,1000,734.647406
764.519961,1000,743.85284
798.853348,1000,753.247052
769.225781,1000,762.750836
775.456378,1000,772.356175
808.233864,1000,781.140584
803.347758,1000,790.439533
808.324795,1000,800.163003
797.002994,1000,809.231806
792.705324,1000,818.277502
813.497052,1000,828.105524
808.730196,1000,837.492546
812.963821,1000,846.908764
811.043219,1000,857.058712
813.259928,1000,865.895975
813.08005,1000,875.965385
810.591346,1000,885.508795
812.63513,1000,895.244294
816.308129,1000,904.020729
829.998487,1000,912.569764
825.561857,1000,922.043408
840.051101,1000,931.703699
832.028145,1000,940.482465
834.191305,1000,949.68729
832.306738,1000,959.375574
830.579345,1000,968.09024
835.2519,1000,976.970129
837.793174,1000,986.332135
838.986542,1000,995.515474
841.317256,1000,1004.144829
840.111398,1000,1012.68806
839.86094,1000,1022.361773
830.545284,1000,1031.126431
832.994728,1000,1039.487056
818.144634,1000,1048.26579
837.174963,1000,1057.354767
817.862495,1000,1066.0988
829.382875,1000,1073.424314
827.615121,1000,1081.438337
836.05411,1000,1088.390576
836.550216,1000,1097.243825
832.214705,1000,1107.793443
823.759299,1000,1116.088232
822.078912,1000,1123.490795
830.273134,1000,1130.946851
825.037053,1000,1138.511559
844.04977,1000,1146.609055
843.391324,1000,1154.890369
842.053305,1000,1163.044241
846.433252,1000,1171.13745
827.832129,1000,1178.642868
822.037438,1000,1186.435755
844.087206,1000,1194.296741
849.257492,1000,1201.587744
845.44167,1000,1209.599704
843.23156,1000,1218.125653
845.975549,1000,1226.05018
847.722883,1000,1234.356934
844.535189,1000,1241.94644
849.371151,1000,1249.747524
843.551867,1000,1257.906794
850.445255,1000,1265.770194
847.113976,1000,1273.802253
843.331034,1000,1281.682469
851.982684,1000,1289.472167
850.935017,1000,1297.482387
850.23837,1000,1305.770991
850.609556,1000,1313.44826
850.337156,1000,1320.683856
848.806536,1000,1327.949843
841.825108,1000,1334.912931
848.897764,1000,1342.591316
851.780895,1000,1350.084243
847.896392,1000,1358.070359
850.415562,1000,1365.961747
852.532907,1000,1373.737783
851.892207,1000,1381.670547
853.211849,1000,1389.241732
853.210843,1000,1396.819597
852.376886,1000,1404.266122
848.261163,1000,1412.250691
856.511263,1000,1419.94549
855.741759,1000,1427.693467
856.555776,1000,1434.934618
855.333116,1000,1441.919927
822.133697,1000,1448.675583
854.830437,1000,1455.680572
856.086789,1000,1462.42438
856.286798,1000,1469.323181
857.530571,1000,1476.264761
858.270723,1000,1482.904302
858.679975,1000,1489.808591
850.572497,1000,1496.56777
862.460602,1000,1503.134753
862.229348,1000,1510.018529
861.970227,1000,1516.746513
860.821166,1000,1523.096079
862.710897,1000,1529.099761
861.361243,1000,1535.030783
860.546864,1000,1540.966123
859.488746,1000,1547.438477
861.713316,1000,1554.234435
862.251516,1000,1561.088547
861.574903,1000,1567.915135
861.137211,1000,1575.07756
860.895277,1000,1581.862663
858.130372,1000,1588.689851
858.536618,1000,1595.477168
852.159277,1000,1602.463308
859.195108,1000,1609.385321
860.356819,1000,1616.190856
859.862975,1000,1622.839416
857.205047,1000,1629.934737
856.870909,1000,1637.230283
856.521111,1000,1643.871065
856.652961,1000,1650.572059
861.317227,1000,1657.197046
859.985766,1000,1664.77071
852.26,1000,1672.511269
