#{"t_start": 1764444861.51428, "env_id": "dm_control/cartpole-swingup-v0"}
r,l,t
55.205471,1000,6.595457
20.223849,1000,13.134168
22.380572,1000,19.721849
25.815519,1000,26.302663
15.942938,1000,33.01901
24.004125,1000,39.667954
86.633461,1000,46.113192
61.2201,1000,52.535083
154.9629,1000,59.149251
174.000945,1000,65.758547
179.417201,1000,72.064232
186.454658,1000,78.515254
154.79946,1000,85.238187
197.493141,1000,91.874014
223.36259,1000,98.644282
234.789884,1000,105.08265
232.586908,1000,111.646781
245.716047,1000,117.965572
257.939541,1000,124.546687
236.095102,1000,131.014487
184.672605,1000,137.529766
183.358359,1000,143.914857
267.878454,1000,150.581407
184.206462,1000,158.618334
200.404106,1000,166.704472
195.994225,1000,174.163882
200.143222,1000,181.57694
191.640063,1000,188.767027
299.834254,1000,197.842427
415.481834,1000,205.911197
315.570296,1000,212.743991
254.479019,1000,219.574364
239.038904,1000,226.685251
239.746345,1000,233.898161
242.343231,1000,240.6671
256.584283,1000,247.290992
267.645194,1000,253.978422
491.846138,1000,260.688035
479.541535,1000,267.22115
581.086748,1000,273.958905
511.853754,1000,280.335001
494.890183,1000,286.633719
481.226983,1000,293.259901
452.120391,1000,300.070597
657.081638,1000,306.730443
706.361313,1000,313.576123
642.977568,1000,320.301534
637.267273,1000,327.052683
699.221399,1000,333.441763
649.005529,1000,339.707013
699.808649,1000,346.350081
533.175878,1000,352.940768
513.959668,1000,359.770632
641.689774,1000,366.857124
511.563002,1000,373.552141
647.103289,1000,380.132457
678.335454,1000,386.923901
541.254322,1000,393.84363
746.30173,1000,400.544761
715.869087,1000,407.370395
729.14972,1000,413.994566
526.099507,1000,420.794976
718.517618,1000,427.46964
666.762645,1000,434.21391
612.647957,1000,440.958211
810.885807,1000,447.651145
790.188205,1000,454.421211
789.674335,1000,461.283933
768.657142,1000,468.139216
795.451673,1000,474.737098
807.553804,1000,481.520448
805.018609,1000,488.507516
768.750776,1000,495.131314
784.283082,1000,501.859685
696.343395,1000,508.245692
776.883324,1000,514.54036
807.758139,1000,521.261014
817.552665,1000,528.303658
811.996708,1000,535.396214
813.574107,1000,543.037172
831.148601,1000,550.598845
803.771425,1000,557.375879
811.077512,1000,566.151747
775.874952,1000,576.08324
772.287471,1000,584.854674
787.358448,1000,593.149846
795.4376,1000,601.527739
787.506504,1000,610.33338
813.010318,1000,618.597827
812.111657,1000,626.504853
807.424359,1000,634.910433
822.615381,1000,643.70944
824.969543,1000,651.746855
832.510351,1000,660.441558
834.385219,1000,668.881796
838.166464,1000,677.223935
824.266092,1000,685.304782
786.425923,1000,693.795656
799.898373,1000,702.283683
749.991728,1000,711.322008
783.36802,1000,720.474832
690.432634,1000,729.132171
680.625554,1000,738.727453
820.358317,1000,747.981058
833.93788,1000,757.142493
828.034336,1000,766.881812
812.487237,1000,776.254601
821.884834,1000,785.491566
795.189503,1000,794.571642
816.554004,1000,803.553565
815.523229,1000,812.737545
818.839519,1000,822.660355
819.756275,1000,832.255156
802.342106,1000,841.704743
824.146374,1000,851.08091
831.093447,1000,860.578662
817.787836,1000,870.334012
833.735239,1000,878.484911
826.815797,1000,887.123067
844.392363,1000,896.434952
843.877956,1000,905.587251
822.585324,1000,914.892758
811.452881,1000,924.516654
818.143827,1000,934.02148
820.945215,1000,942.692081
835.698296,1000,951.49925
837.646557,1000,961.120016
841.097273,1000,970.420803
841.838347,1000,979.795362
841.929197,1000,988.514546
838.802901,1000,998.079556
835.817711,1000,1007.50813
838.051263,1000,1016.754055
832.996817,1000,1025.897571
830.719167,1000,1035.459901
823.044653,1000,1044.714174
826.672125,1000,1054.928826
827.802191,1000,1064.484395
832.701417,1000,1073.771179
831.650721,1000,1083.190244
825.829548,1000,1092.653225
812.735604,1000,1102.455724
826.541789,1000,1112.39689
825.947288,1000,1121.883857
815.067186,1000,1131.014642
813.950592,1000,1139.628828
805.883013,1000,1147.252558
822.312333,1000,1155.223822
823.334667,1000,1163.910754
822.878989,1000,1172.596785
818.895171,1000,1180.214211
829.154748,1000,1187.949269
827.483328,1000,1196.457457
828.917075,1000,1204.898584
833.967346,1000,1213.564259
830.03231,1000,1222.392064
833.409144,1000,1231.229104
835.529578,1000,1240.280638
830.647477,1000,1249.896617
838.070751,1000,1259.450522
832.051701,1000,1269.0293
839.235939,1000,1278.313988
839.576986,1000,1288.18418
838.016577,1000,1297.273426
838.311188,1000,1306.671068
849.717438,1000,1315.705822
849.40977,1000,1324.541388
850.898865,1000,1333.650498
851.039697,1000,1343.019552
844.74875,1000,1352.289037
852.550534,1000,1361.549723
838.380555,1000,1371.01326
839.825477,1000,1380.535162
853.7064,1000,1389.55241
850.063654,1000,1398.598165
849.229208,1000,1407.469065
846.933876,1000,1416.906464
842.358395,1000,1426.319095
844.685356,1000,1435.396771
844.832787,1000,1444.672976
839.454918,1000,1453.838061
847.797983,1000,1463.543479
847.163382,1000,1473.016936
845.859036,1000,1483.240025
832.241959,1000,1492.898902
843.078466,1000,1502.068091
847.883651,1000,1511.475219
844.898725,1000,1519.950654
844.206804,1000,1528.760845
846.37383,1000,1537.837726
837.599124,1000,1547.407485
847.056751,1000,1556.453765
845.995921,1000,1565.171281
849.029279,1000,1573.901483
839.290743,1000,1582.579784
845.292326,1000,1591.163558
848.37766,1000,1599.356893
847.824991,1000,1607.602135
851.029012,1000,1616.069395
849.989083,1000,1624.630944
